Time,Open,High,Low,Last,Change,Volume
6/9/2020,68.201,68.93301,68.078,68.556,0.354,50704
6/10/2020,68.564,68.916,68.202,68.437,-0.119,47474
6/11/2020,68.437,70.191,68.398,70.109,1.672,54107
6/12/2020,70.11,70.165,69.182,69.723,-0.386,15630
6/15/2020,69.72,70.512,69.542,69.542,-0.181,55529
